price,bedrooms,bathrooms,toilets,parking_space,title,town,state
45000000,3,3,4,4,Detached Bungalow,Ajah,Lagos
65000000,4,4,5,3,Semi Detached Duplex,Lekki,Lagos
28500000,4,4,5,4,Detached Bungalow,Enugu,Enugu
80000000,5,5,6,8,Detached Duplex,Dakwo,Abuja
70000000,5,6,7,3,Detached Duplex,Lekki,Lagos
20000000,1,5,5,1,Block of Flats,Ikorodu,Lagos
830000000,4,5,5,4,Block of Flats,Victoria Island (VI),Lagos
160000000,4,4,5,4,Terraced Duplexes,Lekki,Lagos
150000000,5,5,6,1,Detached Duplex,Asokoro District,Abuja
180000000,4,4,5,3,Terraced Duplexes,Victoria Island (VI),Lagos
10000000,2,2,2,4,Detached Bungalow,Alimosho,Lagos
21000000,3,4,4,2,Terraced Duplexes,Sagamu,Ogun
65000000,4,4,5,5,Detached Duplex,Ajah,Lagos
4000000,3,3,4,5,Detached Bungalow,Ikorodu,Lagos
80000000,4,5,5,4,Semi Detached Duplex,Lekki,Lagos
40000000,3,5,5,4,Detached Bungalow,Lokogoma District,Abuja
1300000000,6,6,7,6,Detached Duplex,Ikoyi,Lagos
450000000,5,5,5,4,Detached Duplex,Lekki,Lagos
55000000,4,4,5,2,Terraced Duplexes,Lekki,Lagos
60000000,5,5,5,1,Terraced Duplexes,Chikun,Kaduna
74000000,4,4,5,4,Detached Duplex,Lekki,Lagos
9000000,4,5,5,4,Block of Flats,Ibeju Lekki,Anambara
3000000,2,2,3,4,Detached Bungalow,Egbeda,Oyo
75000000,4,5,5,4,Detached Duplex,Ajah,Lagos
85000000,4,5,5,4,Detached Duplex,Ojodu,Lagos
180000000,4,4,4,3,Terraced Duplexes,Ikeja,Lagos
11500000,3,5,5,4,Semi Detached Bungalow,Mowe Ofada,Ogun
120000000,4,4,5,2,Terraced Duplexes,Lekki,Lagos
30000000,4,4,5,1,Detached Bungalow,Port Harcourt,Rivers
125000000,5,5,6,5,Detached Duplex,Lekki,Lagos
65000000,4,4,4,4,Detached Duplex,Lekki,Lagos
1500000000,5,5,6,4,Detached Duplex,Ikoyi,Lagos
80000000,4,5,5,4,Terraced Duplexes,Utako,Abuja
75000000,4,5,5,4,Detached Duplex,Lekki,Lagos
80000000,5,7,7,8,Semi Detached Duplex,Lekki,Lagos
45000000,3,3,4,3,Terraced Duplexes,Lekki,Lagos
35000000,4,5,5,4,Detached Duplex,Ajah,Lagos
47000000,4,4,5,2,Terraced Duplexes,Lekki,Lagos
145000000,5,5,5,4,Detached Duplex,Lekki,Lagos
50000000,4,5,5,4,Terraced Duplexes,Lugbe District,Abuja
95000000,5,5,6,4,Detached Duplex,Ajah,Lagos
160000000,5,5,6,3,Semi Detached Duplex,Lekki,Lagos
22000000,2,2,3,3,Block of Flats,Jahi,Abuja
150000000,5,5,6,5,Detached Duplex,Lekki,Lagos
75000000,3,3,4,4,Terraced Duplexes,Katampe,Abuja
70000000,4,4,5,2,Semi Detached Duplex,Lekki,Lagos
240000000,4,6,6,4,Semi Detached Duplex,Ikoyi,Lagos
30000000,4,5,5,4,Block of Flats,Magodo,Lagos
16000000,3,3,3,4,Detached Bungalow,Mowe Ofada,Ogun
450000000,5,6,6,4,Detached Duplex,Lekki,Lagos
140000000,4,5,5,4,Terraced Duplexes,Lekki,Lagos
65000000,2,3,3,4,Block of Flats,Lekki,Lagos
450000000,6,6,7,6,Detached Duplex,Ikeja,Lagos
1150000000,5,5,7,6,Detached Duplex,Ikoyi,Lagos
60000000,4,4,5,2,Terraced Duplexes,Life Camp,Abuja
85000000,4,5,5,3,Detached Duplex,Lekki,Lagos
165000000,5,7,7,4,Detached Duplex,Wuye,Abuja
80000000,4,5,5,4,Detached Duplex,Lekki,Lagos
60900000,5,5,5,4,Detached Duplex,Kubwa,Abuja
235000000,5,5,6,4,Detached Duplex,Magodo,Lagos
70000000,4,4,5,2,Detached Duplex,Lekki,Lagos
82000000,4,4,5,3,Semi Detached Duplex,Lekki,Lagos
45000000,4,5,5,4,Detached Bungalow,Shomolu,Lagos
55000000,4,4,5,2,Terraced Duplexes,Lekki,Lagos
50000000,2,3,3,3,Block of Flats,Lekki,Lagos
150000000,5,5,6,8,Detached Duplex,Lekki,Lagos
75000000,4,4,5,4,Semi Detached Duplex,Lekki,Anambara
130000000,5,5,6,5,Detached Duplex,Ikeja,Lagos
190000000,5,5,5,4,Detached Duplex,Lekki,Lagos
125000000,4,4,5,4,Detached Duplex,Lekki,Lagos
90000000,5,5,6,4,Detached Duplex,Lekki,Lagos
350000000,5,5,6,5,Detached Duplex,Lekki,Lagos
850000000,5,5,6,6,Detached Duplex,Ikoyi,Lagos
75000000,4,4,5,1,Terraced Duplexes,Ogudu,Lagos
250000000,5,5,5,4,Detached Duplex,Ikeja,Lagos
400000000,5,5,5,4,Detached Duplex,Ikoyi,Lagos
31000000,3,3,3,4,Terraced Duplexes,Lekki,Lagos
125000000,4,5,5,4,Detached Duplex,Lekki,Lagos
100000000,5,5,6,4,Detached Duplex,Lekki,Lagos
75000000,4,6,6,4,Detached Duplex,Ibadan,Oyo
185000000,5,5,6,3,Terraced Duplexes,Ikoyi,Lagos
32000000,4,5,5,4,Terraced Duplexes,Lugbe District,Abuja
550000000,5,5,6,4,Detached Duplex,Ikoyi,Lagos
150000000,5,6,6,4,Detached Duplex,Lekki,Lagos
160000000,4,4,5,2,Terraced Duplexes,Lekki,Lagos
90000000,4,4,5,2,Terraced Duplexes,Lekki,Lagos
165000000,5,5,5,4,Detached Duplex,Ikeja,Lagos
35000000,1,1,1,4,Block of Flats,Ibadan,Oyo
110000000,4,5,5,4,Terraced Duplexes,Ikeja,Lagos
70000000,4,4,5,4,Semi Detached Duplex,Lekki,Lagos
65000000,4,4,5,8,Detached Duplex,Lekki,Lagos
38500000,4,4,5,4,Semi Detached Bungalow,Lekki,Lagos
75000000,4,4,5,2,Detached Duplex,Ajah,Lagos
650000000,5,5,6,4,Detached Duplex,Ikoyi,Lagos
100000000,4,4,5,5,Detached Duplex,Lekki,Lagos
115000000,5,5,6,2,Detached Duplex,Lekki,Lagos
190000000,5,5,6,4,Detached Duplex,Lekki,Lagos
180000000,5,5,6,4,Detached Duplex,Guzape District,Abuja
75000000,4,5,5,4,Terraced Duplexes,Lekki,Lagos
32000000,4,4,5,5,Terraced Duplexes,Ajah,Lagos
150000000,4,5,5,4,Block of Flats,Owerri West,Imo
60000000,5,5,6,8,Detached Bungalow,Ojodu,Lagos
450000000,4,4,5,4,Semi Detached Duplex,Ikoyi,Lagos
35000000,5,5,6,9,Detached Duplex,Sango Ota,Ogun
420000000,5,6,6,4,Detached Duplex,Katampe,Abuja
5000000,2,2,2,2,Block of Flats,Ibafo,Ogun
125000000,5,5,6,5,Detached Duplex,Ikeja,Lagos
110000000,5,6,7,6,Detached Duplex,Lekki,Lagos
52000000,5,5,5,8,Detached Duplex,Isolo,Lagos
850000000,3,5,5,4,Block of Flats,Lekki,Lagos
75000000,4,4,4,4,Semi Detached Duplex,Magodo,Lagos
130000000,3,5,4,4,Detached Duplex,Ikeja,Lagos
50000000,1,4,4,4,Detached Duplex,Surulere,Lagos
190000000,3,3,4,2,Block of Flats,Ikoyi,Lagos
125000000,5,5,6,4,Detached Duplex,Lekki,Lagos
120000000,5,5,6,3,Detached Duplex,Lekki,Lagos
60000000,5,5,6,4,Detached Duplex,Ajah,Lagos
55000000,4,4,5,4,Detached Duplex,Isolo,Lagos
16000000,3,3,4,4,Detached Bungalow,Mowe Ofada,Ogun
100000000,3,5,5,4,Block of Flats,Obio-Akpor,Rivers
180000000,5,5,6,5,Detached Duplex,Port Harcourt,Rivers
55000000,5,6,7,4,Detached Duplex,Ajah,Lagos
350000000,5,5,6,6,Detached Duplex,Lekki,Lagos
75000000,4,5,5,4,Terraced Duplexes,Life Camp,Abuja
65000000,5,5,6,4,Detached Duplex,Lekki,Lagos
150000000,5,5,5,4,Detached Duplex,Lekki,Lagos
500000000,5,7,7,4,Detached Duplex,Ikoyi,Lagos
55000000,4,5,5,3,Terraced Duplexes,Lekki,Lagos
250000000,3,4,5,4,Block of Flats,Wuye,Abuja
1600000000,6,5,7,8,Detached Duplex,Ikoyi,Lagos
80000000,5,7,7,4,Detached Duplex,Lekki,Lagos
65000000,4,4,5,4,Detached Duplex,Enugu,Enugu
70000000,4,5,5,4,Block of Flats,Port Harcourt,Rivers
67000000,4,4,5,4,Detached Duplex,Lekki,Lagos
200000000,5,5,6,6,Detached Duplex,Lekki,Lagos
35000000,5,6,6,4,Detached Duplex,Life Camp,Abuja
60000000,4,4,5,4,Terraced Duplexes,Lekki,Lagos
60000000,4,4,5,4,Semi Detached Duplex,Lekki,Lagos
125000000,5,5,5,4,Detached Duplex,Ikeja,Lagos
140000000,5,4,5,4,Detached Duplex,Gwarinpa,Abuja
3600000,2,2,2,4,Detached Bungalow,Ayobo,Lagos
62000000,4,4,5,4,Terraced Duplexes,Lekki,Lagos
70000000,3,3,4,4,Detached Bungalow,Gwarinpa,Abuja
50000000,3,6,4,6,Detached Bungalow,Lokogoma District,Abuja
26000000,2,3,3,3,Detached Duplex,Lekki,Lagos
200000000,4,4,4,2,Terraced Duplexes,Ikoyi,Lagos
160000000,4,4,5,5,Semi Detached Duplex,Katampe,Abuja
70000000,9,9,1,1,Detached Duplex,Isolo,Lagos
350000000,5,5,6,6,Detached Duplex,Lekki,Lagos
110000000,5,5,5,2,Detached Duplex,Lekki,Lagos
15000000,3,3,4,1,Detached Bungalow,Ikorodu,Lagos
100000000,5,5,6,4,Detached Duplex,Lekki,Lagos
45000000,4,4,5,4,Semi Detached Duplex,Ajah,Lagos
250000000,9,9,1,8,Detached Duplex,Lekki,Lagos
120000000,5,5,6,5,Detached Duplex,Ajah,Lagos
65000000,4,4,5,4,Detached Duplex,Lekki,Lagos
80000000,3,5,5,4,Detached Duplex,Gwarinpa,Abuja
200000000,5,5,5,4,Detached Duplex,Lekki,Lagos
85000000,5,6,6,7,Detached Duplex,Apo,Abuja
50000000,5,5,5,4,Detached Duplex,Isolo,Lagos
10000000,4,5,5,8,Detached Bungalow,Mowe Town,Ogun
43000000,4,4,5,4,Terraced Duplexes,Galadimawa,Abuja
45000000,4,5,5,4,Terraced Duplexes,Life Camp,Abuja
33000000,5,5,7,1,Detached Duplex,Ibadan South-West,Oyo
15500000,3,4,4,4,Detached Bungalow,Galadimawa,Abuja
90000000,4,4,5,4,Detached Duplex,Lekki,Lagos
43000000,4,4,5,1,Detached Duplex,Ibeju Lekki,Lagos
150000000,5,5,6,4,Detached Duplex,Ikeja,Lagos
650000000,5,5,6,4,Detached Duplex,Ikoyi,Lagos
72000000,4,4,5,4,Semi Detached Duplex,Ajah,Lagos
70000000,4,5,5,4,Detached Duplex,Lekki,Lagos
280000000,4,4,5,3,Terraced Duplexes,Ikoyi,Lagos
65000000,4,6,6,4,Detached Duplex,Ajah,Lagos
45000000,4,4,5,2,Terraced Duplexes,Lekki,Lagos
46000000,4,4,5,2,Terraced Duplexes,Lekki,Lagos
170000000,4,6,6,4,Semi Detached Duplex,Wuse 2,Abuja
31000000,3,3,3,4,Terraced Duplexes,Lekki,Lagos
450000000,4,4,5,4,Detached Duplex,Asokoro District,Abuja
20000000,6,5,5,4,Detached Bungalow,Enugu,Enugu
270000000,5,6,6,4,Detached Duplex,Lekki,Lagos
195000000,5,5,6,7,Detached Duplex,Lekki,Lagos
250000000,5,5,6,5,Detached Duplex,Lekki,Lagos
60000000,2,5,5,4,Block of Flats,Owerri West,Imo
35000000,4,4,5,4,Detached Duplex,Mowe Town,Ogun
190000000,4,5,5,4,Terraced Duplexes,Wuse 2,Abuja
130000000,5,5,5,4,Detached Duplex,Durumi,Abuja
720000000,5,5,5,4,Detached Duplex,Ikoyi,Lagos
240000000,7,7,8,7,Detached Duplex,Lekki,Lagos
55000000,4,5,5,4,Detached Duplex,Ikeja,Lagos
25000000,5,4,5,6,Detached Bungalow,Lekki,Lagos
80000000,5,5,6,3,Detached Duplex,Lekki,Lagos
58000000,4,4,5,2,Terraced Duplexes,Lekki,Lagos
65000000,4,4,5,4,Detached Duplex,Ajah,Lagos
85000000,5,5,6,1,Detached Duplex,Gwarinpa,Abuja
35000000,3,3,4,4,Detached Duplex,Simawa,Ogun
80000000,4,4,5,4,Detached Duplex,Arepo,Ogun
75000000,4,4,5,4,Terraced Duplexes,Mabushi,Abuja
6000000,5,5,5,4,Detached Duplex,Ikoyi,Lagos
85000000,5,5,6,3,Detached Duplex,Lekki,Lagos
65000000,4,4,5,4,Semi Detached Duplex,Lekki,Lagos
130000000,5,5,6,5,Detached Duplex,Ikeja,Lagos
25000000,2,3,3,2,Detached Bungalow,Life Camp,Abuja
60000000,4,5,5,7,Block of Flats,Port Harcourt,Rivers
60000000,4,5,5,4,Detached Duplex,Port Harcourt,Rivers
35000000,3,3,4,4,Terraced Duplexes,Lokogoma District,Abuja
39000000,4,5,5,6,Semi Detached Duplex,Ajah,Lagos
77000000,5,5,6,4,Terraced Duplexes,Lekki,Lagos
65000000,3,4,5,2,Terraced Duplexes,Ajah,Lagos
230000000,4,4,4,4,Semi Detached Duplex,Ikoyi,Lagos
40000000,3,3,4,1,Terraced Bungalow,Ajah,Lagos
65000000,4,4,5,4,Semi Detached Duplex,Lekki,Lagos
198000000,5,5,6,4,Detached Duplex,Lekki,Lagos
200000000,1,1,1,1,Semi Detached Duplex,Katampe,Abuja
15500000,3,3,4,2,Terraced Bungalow,Ifako-Ijaiye,Lagos
350000000,4,4,5,6,Detached Duplex,Ikoyi,Lagos
55000000,5,1,1,1,Block of Flats,Alimosho,Lagos
15000000,5,5,5,4,Detached Bungalow,Ibadan,Oyo
65000000,5,5,6,5,Detached Duplex,Ajah,Lagos
45000000,4,5,5,4,Semi Detached Duplex,Ibadan,Oyo
6500000,1,5,2,1,Detached Bungalow,Mowe Ofada,Ogun
105000000,4,4,5,4,Terraced Duplexes,Lekki,Lagos
700000000,6,7,7,1,Detached Duplex,Ikeja,Lagos
100000000,5,6,6,1,Detached Duplex,Port Harcourt,Rivers
65000000,3,3,3,9,Block of Flats,Owerri Municipal,Imo
75000000,4,4,5,4,Detached Duplex,Lekki,Lagos
135000000,4,4,5,1,Detached Duplex,Port Harcourt,Rivers
900000000,5,5,6,4,Detached Duplex,Katampe,Abuja
